"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"91","750579","""Rome centre"" chic flat/Pantanella","Giuseppe","I Centro Storico","4,189,033","125,161","Entire home/apt","5899664","Apartment in the center of Rome","Giuseppe","XII Monte Verde","4,187,185","1,245,878","Entire home/apt"
"91","831224","Loft in Rome","Andrea","VI Roma delle Torri","4,187,328","1,259,528","Entire home/apt","5059021","Mini-Loft with view!Trastevere Roma","Andrea","XII Monte Verde","4,187,396","1,246,368","Entire home/apt"
"91","877647","CHEAP & CHIC BLUE STUDIO @COLISEUM with Balcony!","Super Host","I Centro Storico","4,188,945","1,250,318","Entire home/apt","5612157","CHEAP & CHIC ORANGE STUDIO @COLISEUM with Balcony!","Super Host","I Centro Storico","418,899","1,250,286","Entire home/apt"
"91","1086809","Your home in Rome","Michela","XIV Monte Mario","4,191,887","1,242,486","Entire home/apt","6321404","Your home in the heart of Rome","Michele","I Centro Storico","4,189,632","124,732","Entire home/apt"
"91","896479","Affitto stanza singola","Annalisa","I Centro Storico","419,123","1,244,991","Private room","9308818","STANZA IN AFFITTO","Anna","IV Tiburtina","4,191,094","125,394","Private room"
"91","808450","IN THE HEART OF ROME","Francesca","I Centro Storico","4,189,553","1,247,337","Entire home/apt","14863358","Amazing terrace Vatican view,in the heart of Rome","Simone, Francesca&Alessia","XIII Aurelia","4,190,011","1,244,896","Entire home/apt"
"91","740478","""COLOSSEUM NEWYORK""  , Apartment 7p","Stefano","I Centro Storico","4,189,133","1,251,323","Entire home/apt","18907494","Apartment Coliseum","Stefano","I Centro Storico","4,188,911","1,249,442","Entire home/apt"
"91","946986","Apartment Trastevere","Manuela","XII Monte Verde","4,187,894","1,246,725","Entire home/apt","17084099","Nice Apartment in Trastevere","Manuele","I Centro Storico","4,189,118","1,246,752","Entire home/apt"
"91","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26836196","Dab Guest House - Stanza Rossa Superior Room","Alessandro","I Centro Storico","4,191,065","1,249,603","Private room"
"91","1187009","Domus Appia Antica, 2 bedrooms and terrace","Enrico","VII San Giovanni/Cinecittà","4,183,481","1,259,606","Entire home/apt","23960452","Domus Appia Antica, 4 bedrooms and terrace","Enrico","VII San Giovanni/Cinecittà","4,183,253","1,259,707","Entire home/apt"
"91","616243","central apartament Rome near subway","Francesca","VII San Giovanni/Cinecittà","4,187,388","1,251,784","Entire home/apt","27637916","Apartment in the center of Rome","Francesco","VII San Giovanni/Cinecittà","4,188,384","1,251,197","Entire home/apt"
"91","1000327","Rome St. Peter","Stefano","XII Monte Verde","4,187,735","1,244,815","Entire home/apt","22609324","Costantino Terzo Residence, Roma St.Pietro","Stefano","I Centro Storico","4,191,215","1,245,669","Entire home/apt"
"90","832679","LT Rooms - triple/private bathroom","Gaetano","XIII Aurelia","4,189,947","1,243,647","Private room","270065","LT Rooms - double/private bathroom","Gaetano","XIII Aurelia","4,190,101","1,243,795","Private room"
"90","834741","LT Rooms-quadruple/private bathroom","Gaetano","XIII Aurelia","4,190,086","1,243,748","Private room","270065","LT Rooms - double/private bathroom","Gaetano","XIII Aurelia","4,190,101","1,243,795","Private room"
"90","711057","Gelsomina room in S.Pietro Double","Mattia","I Centro Storico","419,063","1,245,823","Private room","339919","Gelsomina room in S.Pietro triple","Mattia","I Centro Storico","4,190,782","1,245,757","Private room"
"90","783309","The ""ingegno"" room & organic breakfast @mammarampa","Claudia & Livia","XIII Aurelia","4,189,624","1,245,133","Private room","757216","""Comodona"" room & organic breakfast @mammarampa","Claudia & Livia","XIII Aurelia","4,189,637","1,245,103","Private room"
"90","817475","IL BOOM B&B TRASTEVERE - MAGNANI","Angelo","I Centro Storico","4,188,531","1,246,677","Private room","800652","IL BOOM B&B TRASTEVERE Room LOREN","Angelo","I Centro Storico","4,188,427","1,246,515","Private room"
"90","1045646","MONTI ACCOMODATION&STUDIO 4 CANTONI","Orizio & Silvia","I Centro Storico","4,189,662","1,249,645","Entire home/apt","812342","MONTI ACCOMODATION & LOFT 4 CANTONI","Orizio & Silvia","I Centro Storico","4,189,675","1,249,668","Entire home/apt"
"90","817513","IL BOOM B&B TRASTEVERE - Room VITTI","Angelo","I Centro Storico","4,188,466","1,246,524","Private room","817475","IL BOOM B&B TRASTEVERE - MAGNANI","Angelo","I Centro Storico","4,188,531","1,246,677","Private room"
"90","834741","LT Rooms-quadruple/private bathroom","Gaetano","XIII Aurelia","4,190,086","1,243,748","Private room","832679","LT Rooms - triple/private bathroom","Gaetano","XIII Aurelia","4,189,947","1,243,647","Private room"
"90","838414","Graziosa camera vicino al Centro!","Paolo","XIII Aurelia","4,189,704","124,309","Private room","838400","Graziosa camera vicino al Vaticano!","Paolo","XIII Aurelia","4,189,786","1,243,511","Private room"
"90","855912","Fori Up 4 pax in the heart of Roma","Luca","I Centro Storico","418,921","1,248,527","Entire home/apt","852680","Fori Suite 4 pax the heart of Rome","Luca","I Centro Storico","41,892","1,248,368","Entire home/apt"
"90","1084807","St. Peter-Big, quiet & comfortable","Nicola","I Centro Storico","4,190,857","1,245,875","Entire home/apt","971672","St. Peter - Big and quiet apartment","Nicola","I Centro Storico","4,191,011","1,246,043","Entire home/apt"
"90","1170571","Very Nice Room in Magic Trastevere","Maurilio","I Centro Storico","4,188,885","124,702","Private room","998048","Large and nice room in magic Trastevere","Maurilio","I Centro Storico","4,188,813","1,247,064","Private room"
"90","1195955","Dalmati House 4 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,846","1,251,537","Entire home/apt","1020482","Dalmati House 7 apartment in Rome","Giovanni","II Parioli/Nomentano","4,190,002","1,251,622","Entire home/apt"
"90","1196652","Dalmati House 2 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,882","1,251,541","Entire home/apt","1020482","Dalmati House 7 apartment in Rome","Giovanni","II Parioli/Nomentano","4,190,002","1,251,622","Entire home/apt"
"90","1196684","Dalmati House 1 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,924","12,516","Entire home/apt","1020482","Dalmati House 7 apartment in Rome","Giovanni","II Parioli/Nomentano","4,190,002","1,251,622","Entire home/apt"
"90","1020482","Dalmati House 7 apartment in Rome","Giovanni","II Parioli/Nomentano","4,190,002","1,251,622","Entire home/apt","999135","Dalmati House 6 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,836","1,251,492","Entire home/apt"
"90","1195955","Dalmati House 4 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,846","1,251,537","Entire home/apt","999135","Dalmati House 6 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,836","1,251,492","Entire home/apt"
"90","1196652","Dalmati House 2 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,882","1,251,541","Entire home/apt","999135","Dalmati House 6 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,836","1,251,492","Entire home/apt"
"90","1196684","Dalmati House 1 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,924","12,516","Entire home/apt","999135","Dalmati House 6 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,836","1,251,492","Entire home/apt"
"90","928637","Room in the center of rome","Alessandro","XII Monte Verde","4,187,811","1,245,896","Private room","928448","Cozy room in the hearth of rome","Alessandro","XII Monte Verde","4,187,696","1,245,871","Private room"
"90","933336","B&B Vaticano/San Pietro Camera Tripla","Andrea","XIII Aurelia","4,190,084","1,244,566","Private room","933324","B&B Vaticano/San Pietro Camera doppia/Matrimoniale","Andrea","XIII Aurelia","4,189,787","1,245,507","Private room"
"90","939159","Coliseum Roo (Website hidden by Airbnb) Mazzini","Roberto","I Centro Storico","4,191,504","1,246,244","Private room","936664","St. Peter's Roo (Website hidden by Airbnb) Mazzini","Roberto","I Centro Storico","4,191,556","1,246,087","Private room"
"90","1196652","Dalmati House 2 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,882","1,251,541","Entire home/apt","1195955","Dalmati House 4 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,846","1,251,537","Entire home/apt"
"90","1196684","Dalmati House 1 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,924","12,516","Entire home/apt","1195955","Dalmati House 4 apartment in Rome","Giovanni","II Parioli/Nomentano","4,189,846","1,251,537","Entire home/apt"
